Rk,Athlete,Gender,Age,Sport,Gold,Silver,Bronze,Total
107,Rosanna Crawford,Female,21,Biathlon,,,,
108,Vanessa Crone,Female,19,Figure Skating,,,,
109,Bryce Davison,Male,24,Figure Skating,,,,
110,Christopher Del Bosco,Male,27,Freestyle Skiing,,,,
111,Robbie Dixon,Male,25,Alpine Skiing,,,,
112,Michael Douglas,Male,38,Skeleton,,,,
113,Jessica Dube,Female,22,Figure Skating,,,,
114,Chloe Dufour-Lapointe,Female,18,Freestyle Skiing,,,,
115,Sam Edney,Male,25,Luge,,,,
116,Rob Fagan,Male,33,Snowboarding,,,,
117,Marie-Michele Gagnon,Female,20,Alpine Skiing,,,,
118,Daria Gaiazova,Female,26,Cross Country Skiing,,,,
119,Maxime Gingras,Male,25,Freestyle Skiing,,,,
120,Drew Goldsack,Male,28,Cross Country Skiing,,,,
121,Anna Goodman,Female,24,Alpine Skiing,,,,
122,Alex Gough,Female,22,Luge,,,,
123,Amy Gough,Female,32,Skeleton,,,,
124,Brendan Green,Male,23,Biathlon,,,,
125,Jamie Gregg,Male,24,Speed Skating,,,,
126,George Grey,Male,30,Cross Country Skiing,,,,
127,Erik Guay,Male,28,Alpine Skiing,,,,
128,Alex Harvey,Male,21,Cross Country Skiing,,,,
129,Cody Hay,Male,26,Figure Skating,,,,
130,Stanley Hayer,Male,36,Freestyle Skiing,,,,
131,Louis-Pierre Helie,Male,24,Alpine Skiing,,,,
132,Mellisa Hollingsworth-Richards,Female,29,Skeleton,,,,
133,Jan Hudec,Male,28,Alpine Skiing,,,,
134,Megan Imrie,Female,23,Biathlon,,,,
135,Mike Ireland,Male,36,Speed Skating,,,,
136,Britt Janyk,Female,29,Alpine Skiing,,,,
137,Mike Janyk,Male,27,Alpine Skiing,,,,
138,Gordon Jewett,Male,32,Cross Country Skiing,,,,
139,Perianne Jones,Female,24,Cross Country Skiing,,,,
140,Michelle Kelly,Female,35,Skeleton,,,,
