Rk,Athlete,Gender,Age,Sport,Gold,Silver,Bronze,Total
107,Tim Burke,Male,28,Biathlon,,,,
108,Ashley Caldwell,Female,16,Freestyle Skiing,,,,
109,Lauren Cholewinski,Female,21,Speed Skating,,,,
110,Callan Chythlook-Sifsof,Female,20,Snowboarding,,,,
111,Julia Clukey,Female,24,Luge,,,,
112,Jimmy Cochran,Male,28,Alpine Skiing,,,,
113,Caitlin Compton,Female,29,Cross Country Skiing,,,,
114,Emily Cook,Female,30,Freestyle Skiing,,,,
115,Stacey Cook,Female,25,Alpine Skiing,,,,
116,Nick Cunningham,Male,24,Bobsleigh,,,,
117,John Daly,Male,24,Skeleton,,,,
118,Patrick Deneen,Male,22,Freestyle Skiing,,,,
119,Caydee Denney,Female,16,Figure Skating,,,,
120,Matt Depeters,Male,22,Freestyle Skiing,,,,
121,Hailey Duke,Female,24,Alpine Skiing,,,,
122,Amanda Evora,Female,25,Figure Skating,,,,
123,Rachael Flatt,Female,17,Figure Skating,,,,
124,Taylor Fletcher,Male,19,Nordic Combined Ski Jumping,,,,
125,Chris Fogt,Male,26,Bobsleigh,,,,
126,Tommy Ford,Male,20,Alpine Skiing,,,,
127,Tucker Fredricks,Male,25,Speed Skating,,,,
128,Kris Freeman,Male,29,Cross Country Skiing,,,,
129,Peter Frenette,Male,17,Ski Jumping,,,,
130,Michelle Gorgone,Female,26,Snowboarding,,,,
131,Mark Grimmette,Male,39,Luge,,,,
132,Faye Gulini,Female,17,Snowboarding,,,,
133,Jay Hakkinen,Male,32,Biathlon,,,,
134,Simi Hamilton,Male,22,Cross Country Skiing,,,,
135,Erin Hamlin,Female,23,Luge,,,,
136,Debbie Henry-McCormick,Female,36,Curling,,,,
137,Elena Hight,Female,20,Snowboarding,,,,
138,Nate Holland,Male,31,Snowboarding,,,,
139,Jeff Isaacson,Male,26,Curling,,,,
140,Lindsey Jacobellis,Female,24,Snowboarding,,,,
141,Tyler Jewell,Male,32,Snowboarding,,,,
142,Anders Johnson,Male,20,Ski Jumping,,,,
143,Haley Johnson,Female,28,Biathlon,,,,
144,Nicole Joraanstad,Female,29,Curling,,,,
145,Dan Joye,Male,24,Luge,,,,
146,Nolan Kasper,Male,20,Alpine Skiing,,,,
147,Chris Klug,Male,37,Snowboarding,,,,
148,Mike Kohn,Male,37,Bobsleigh,,,,
149,Torin Koos,Male,29,Cross Country Skiing,,,,
150,Garrott Kuzzy,Male,27,Cross Country Skiing,,,,
151,Mark Ladwig,Male,29,Figure Skating,,,,
152,Maria Lamb,Female,24,Speed Skating,,,,
153,Steve Langton,Male,26,Bobsleigh,,,,
154,Ted Ligety,Male,25,Alpine Skiing,,,,
155,Jana Lindsey,Female,25,Freestyle Skiing,,,,
156,Zach Lund,Male,30,Skeleton,,,,
157,Chelsea Marshall,Female,23,Alpine Skiing,,,,
158,Brian Martin,Male,36,Luge,,,,
159,Chris Mazdzer,Male,21,Luge,,,,
160,Megan McJames,Female,22,Alpine Skiing,,,,
161,Alice McKennis,Female,20,Alpine Skiing,,,,
162,Heather McPhie,Female,25,Freestyle Skiing,,,,
163,Jamie Moriarty,Male,28,Bobsleigh,,,,
164,Michael Morse,Male,28,Freestyle Skiing,,,,
165,Mirai Nagasu,Female,16,Figure Skating,,,,
166,John Napier,Male,23,Bobsleigh,,,,
167,Andy Newell,Male,26,Cross Country Skiing,,,,
168,Christian Niccum,Male,32,Luge,,,,
169,Natalie Nicholson,Female,33,Curling,,,,
170,Steve Nyman,Male,28,Alpine Skiing,,,,
171,Elli Ochowicz,Female,26,Speed Skating,,,,
172,Nick Pearson,Male,30,Speed Skating,,,,
173,Noelle Pikus-Pace,Female,27,Skeleton,,,,
174,Chris Plys,Male,22,Curling,,,,
175,Allison Pottinger,Female,36,Curling,,,,
176,Casey Puckett,Male,37,Freestyle Skiing,,,,
177,Daron Rahlves,Male,36,Freestyle Skiing,,,,
178,Kikkan Randall,Female,27,Cross Country Skiing,,,,
179,Catherine Raney-Norman,Female,29,Speed Skating,,,,
180,Heather Richardson,Female,20,Speed Skating,,,,
181,Kaylin Richardson,Female,25,Alpine Skiing,,,,
182,Michelle Roark,Female,35,Freestyle Skiing,,,,
183,Nate Roberts,Male,27,Freestyle Skiing,,,,
184,Wynn Roberts,Male,21,Biathlon,,,,
185,Jennifer Rodriguez,Female,33,Speed Skating,,,,
186,Shauna Rohbock,Female,32,Bobsleigh,,,,
187,Jilleanne Rookard,Female,27,Speed Skating,,,,
188,Michelle Rzepka,Female,26,Bobsleigh,,,,
189,Emily Samuelson,Female,19,Figure Skating,,,,
190,Bree Schaaf,Female,29,Bobsleigh,,,,
191,Sarah Schleper,Female,30,Alpine Skiing,,,,
192,Lacy Schnoor,Female,24,Freestyle Skiing,,,,
193,Bill Schuffenhauer,Male,36,Bobsleigh,,,,
194,John Shuster,Male,27,Curling,,,,
195,Jason Smith,Male,26,Curling,,,,
196,Leanne Smith,Female,22,Alpine Skiing,,,,
197,James Southam,Male,31,Cross Country Skiing,,,,
198,Laura Spector,Female,22,Biathlon,,,,
199,Ryan St. Onge,Male,27,Freestyle Skiing,,,,
200,Liz Stephen,Female,23,Cross Country Skiing,,,,
201,Sara Studebaker,Female,25,Biathlon,,,,
202,Marco Sullivan,Male,29,Alpine Skiing,,,,
203,Megan Sweeney,Female,22,Luge,,,,
204,Nancy Swider-Peltz Jr.,Female,23,Speed Skating,,,,
205,Jeremy Teela,Male,33,Biathlon,,,,
206,Katie Uhlaender,Female,25,Skeleton,,,,
207,Louie Vito,Male,21,Snowboarding,,,,
208,Bengt Walden,Male,36,Luge,,,,
209,Graham Watanabe,Male,27,Snowboarding,,,,
210,Johnny Weir,Male,25,Figure Skating,,,,
211,Mitch Whitmore,Male,20,Speed Skating,,,,
212,Jake Zamansky,Male,28,Alpine Skiing,,,,
